Timestamp	ID	Payload	Payload Length	Type	Name
0,186560	173	09  00  00  00  00  00  00  00	8	S	
0,187036	172	00  00  05  00  8C  C3  05  00	8	S	
0,187528	171	00  00  00  00  00  08  00  00	8	S	
0,188004	168	47  00  48  22  FB  FF  0A  00	8	S	
0,188487	167	0F  00  00  00  71  FF  43  FF	8	S	
0,188979	166	02  00  07  00  00  00  00  00	8	S	
0,189459	165	06  02  FF  FF  00  00  DA  FB	8	S	
0,189959	164	00  00  00  00  00  00  00  00	8	S	
0,190426	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,190930	192	00  00  00  00  01  00  00  00	8	S	
0,193833	192	00  00  00  00  01  00  00  00	8	S	
0,195560	173	02  00  00  00  00  00  00  00	8	S	
0,196044	172	00  00  04  00  8F  C3  05  00	8	S	
0,196536	171	00  00  00  00  00  08  00  00	8	S	
0,197024	168	47  00  48  22  00  00  08  00	8	S	
0,197504	167	0F  00  00  00  69  FF  3E  FF	8	S	
0,197988	166	05  00  01  00  05  00  00  00	8	S	
0,198467	165	09  02  00  00  00  00  DA  FB	8	S	
0,198967	164	00  00  00  00  00  00  00  00	8	S	
0,199435	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,199938	192	00  00  00  00  01  00  00  00	8	S	
0,203829	192	00  00  00  00  01  00  00  00	8	S	
0,204561	173	00  00  00  00  00  00  00  00	8	S	
0,205045	172	00  00  01  00  92  C3  05  00	8	S	
0,205536	171	00  00  00  00  00  08  00  00	8	S	
0,206012	168	47  00  48  22  FF  FF  01  00	8	S	
0,206496	167	11  00  00  00  71  FF  4F  FF	8	S	
0,206991	166	00  00  01  00  00  00  00  00	8	S	
0,207471	165	09  02  00  00  00  00  DA  FB	8	S	
0,207971	164	00  00  00  00  00  00  00  00	8	S	
0,208439	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,208942	192	00  00  00  00  01  00  00  00	8	S	
0,213722	173	00  00  00  00  00  00  00  00	8	S	
0,214202	172	00  00  01  00  95  C3  05  00	8	S	
0,214694	171	00  00  00  00  00  08  00  00	8	S	
0,215166	168	47  00  48  22  01  00  02  00	8	S	
0,215645	167	0F  00  00  00  71  FF  3E  FF	8	S	
0,216141	166	00  00  04  00  00  00  00  00	8	S	
0,216621	165	08  02  00  00  00  00  D9  FB	8	S	
0,217121	164	00  00  00  00  00  00  00  00	8	S	
0,217588	163	ED  01  D8  01  ED  01  EC  01	8	S	
0,218092	192	00  00  00  00  01  00  00  00	8	S	
0,218828	192	00  00  00  00  01  00  00  00	8	S	
0,222636	173	00  00  00  00  00  00  00  00	8	S	
0,223107	174	10  00  24  18  10  05  13  20	8	S	
0,223599	172	00  00  00  00  98  C3  05  00	8	S	
0,224091	171	00  00  00  00  00  08  00  00	8	S	
0,224575	170	07  00  01  04  01  00  80  00	8	S	
0,225042	169	97  00  FA  00  FC  01  8A  04	8	S	
0,225526	168	47  00  48  22  00  00  00  00	8	S	
0,226002	167	0C  00  00  00  76  FF  54  FF	8	S	
0,226498	166	00  00  FF  FF  02  00  00  00	8	S	
0,226977	165	08  02  00  00  00  00  D9  FB	8	S	
0,227477	164	00  00  00  00  00  00  00  00	8	S	
0,227945	163	EC  01  D8  01  ED  01  EC  01	8	S	
0,228408	162	F0  D8  F0  D8  B5  01  00  00	8	S	
0,228860	161	35  01  E9  08  E7  08  F0  D8	8	S	
0,229336	160	EC  00  EB  00  EF  00  FA  00	8	S	
0,229840	192	00  00  00  00  01  00  00  00	8	S	
0,230351	192	00  00  00  00  01  00  00  00	8	S	
0,231556	173	02  00  00  00  00  00  00  00	8	S	
0,232039	172	00  00  02  00  9B  C3  05  00	8	S	
0,232531	171	00  00  00  00  00  08  00  00	8	S	
0,233007	168	47  00  48  22  FD  FF  05  00	8	S	
0,233483	167	0C  00  00  00  76  FF  35  FF	8	S	
0,233978	166	00  00  05  00  00  00  00  00	8	S	
0,234462	165	09  02  00  00  00  00  D9  FB	8	S	
0,234962	164	00  00  00  00  00  00  00  00	8	S	
0,235429	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,235933	192	00  00  00  00  01  00  00  00	8	S	
0,238824	192	00  00  00  00  01  00  00  00	8	S	
0,240552	173	04  00  00  00  00  00  00  00	8	S	
0,241032	172	00  00  04  00  9E  C3  05  00	8	S	
0,241523	171	00  00  00  00  00  08  00  00	8	S	
0,241995	168	47  00  48  22  FE  FF  08  00	8	S	
0,242479	167	0F  00  00  00  7A  FF  3E  FF	8	S	
0,242963	166	03  00  05  00  09  00  00  00	8	S	
0,243446	165	08  02  00  00  00  00  DA  FB	8	S	
0,243946	164	00  00  00  00  00  00  00  00	8	S	
0,244406	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,244910	192	00  00  00  00  01  00  00  00	8	S	
0,248820	192	00  00  00  00  01  00  00  00	8	S	
